goal combination,count,pick count
"['1 Skulltula from each Adult Dungeon', '1 Skulltula from each Child Dungeon']",6,1
"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch']",6,1
"['1 Skulltula from each Adult Dungeon', '3 Lake Hylia Skulltulas']",6,1
"['1 Skulltula from each Adult Dungeon', '3 Shields & 3 Boots']",6,1
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots']",11,1
"['1 Skulltula from each Adult Dungeon', '3 Tunics']",11,3
"['1 Skulltula from each Adult Dungeon', '30 Deku Nuts']",10,3
"['1 Skulltula from each Adult Dungeon', '4 Unused Keys in Forest Temple']",6,0
"['1 Skulltula from each Adult Dungeon', '5 Hearts']",8,1
"['1 Skulltula from each Adult Dungeon', '5 Zora area HPs']",13,2
"['1 Skulltula from each Adult Dungeon', '6 Different Unused Keys in Gerudo Training Grounds']",6,3
"['1 Skulltula from each Adult Dungeon', '7 Different Unused Keys in Gerudo Training Grounds']",7,1
"['1 Skulltula from each Adult Dungeon', '7 Hearts (no duping)']",8,0
"['1 Skulltula from each Adult Dungeon', '8 Hearts (no duping)']",16,6
"['1 Skulltula from each Adult Dungeon', '9 Hearts (no duping)']",7,2
"['1 Skulltula from each Adult Dungeon', 'All 3 Elemental Arrows']",9,2
"['1 Skulltula from each Adult Dungeon', 'All 3 Skulltulas in Bottom of the Well']",6,1
"['1 Skulltula from each Adult Dungeon', 'All 4 Gerudo Valley area Skulltulas']",8,0
"['1 Skulltula from each Adult Dungeon', 'All 4 Lon Lon Ranch area Skulltulas']",6,1
"['1 Skulltula from each Adult Dungeon', 'All 4 Lost Woods area Skulltulas']",7,0
"['1 Skulltula from each Adult Dungeon', 'All 5 Lake Hylia Skulltulas']",8,1
"['1 Skulltula from each Adult Dungeon', 'All 5 Skulltulas in Fire Temple']",7,1
"['1 Skulltula from each Adult Dungeon', 'All 5 Skulltulas in Forest Temple']",7,0
"['1 Skulltula from each Adult Dungeon', 'All 5 Skulltulas in Water Temple']",6,2
"['1 Skulltula from each Adult Dungeon', 'All 8 Kakariko area Skulltulas']",6,0
"['1 Skulltula from each Adult Dungeon', 'All 8 Zoras Domain area Skulltulas']",18,4
"['1 Skulltula from each Adult Dungeon', 'Beat the Fire Temple']",9,0
"['1 Skulltula from each Adult Dungeon', 'Bolero of Fire']",9,1
"['1 Skulltula from each Adult Dungeon', 'Both HPs in Lost Woods']",6,1
"['1 Skulltula from each Adult Dungeon', 'Bronze Gauntlets']",6,7
"['1 Skulltula from each Adult Dungeon', 'Bullet Bag (50)']",7,0
"['1 Skulltula from each Adult Dungeon', 'Clear 10 Silver Rupee Rooms']",6,1
"['1 Skulltula from each Adult Dungeon', 'Defeat Big Octo']",6,2
"['1 Skulltula from each Adult Dungeon', 'Defeat Nabooru-Knuckle']",6,2
"['1 Skulltula from each Adult Dungeon', 'Desert Colossus HP']",6,1
"['1 Skulltula from each Adult Dungeon', 'Dins Fire']",16,8
"['1 Skulltula from each Adult Dungeon', 'Eponas Song']",10,1
"['1 Skulltula from each Adult Dungeon', 'Exactly 30 Deku Sticks']",10,0
"['1 Skulltula from each Adult Dungeon', 'Farores Wind']",6,2
"['1 Skulltula from each Adult Dungeon', 'Fire Medallion']",6,2
"['1 Skulltula from each Adult Dungeon', 'Fire Temple Boss Key']",9,3
"['1 Skulltula from each Adult Dungeon', 'Free all 9 Gorons in Fire Temple']",6,9
"['1 Skulltula from each Adult Dungeon', 'Ganons Castle Boss Key']",8,4
"['1 Skulltula from each Adult Dungeon', 'Goron Bracelet']",16,4
"['1 Skulltula from each Adult Dungeon', 'Goron Tunic']",9,0
"['1 Skulltula from each Adult Dungeon', 'Green Gauntlets']",22,4
"['1 Skulltula from each Adult Dungeon', 'Keaton Mask']",6,1
"['1 Skulltula from each Adult Dungeon', 'Light Arrows']",7,0
