goal combination,count,pick count
"['1 Skulltula from each Adult Dungeon', '3 Swords & 3 Boots']",8,1
"['1 Skulltula from each Adult Dungeon', '3 Tunics']",6,0
"['1 Skulltula from each Adult Dungeon', '4 Unused Keys in Forest Temple']",6,0
"['1 Skulltula from each Adult Dungeon', '7 Hearts (no duping)']",7,0
"['1 Skulltula from each Adult Dungeon', '8 Hearts (no duping)']",13,4
"['1 Skulltula from each Adult Dungeon', 'All 5 Skulltulas in Fire Temple']",7,1
"['1 Skulltula from each Adult Dungeon', 'All 8 Zoras Domain area Skulltulas']",10,2
"['1 Skulltula from each Adult Dungeon', 'Beat the Fire Temple']",7,0
"['1 Skulltula from each Adult Dungeon', 'Both HPs in Lost Woods']",6,1
"['1 Skulltula from each Adult Dungeon', 'Bronze Gauntlets']",6,7
"['1 Skulltula from each Adult Dungeon', 'Dins Fire']",11,4
"['1 Skulltula from each Adult Dungeon', 'Exactly 30 Deku Sticks']",7,0
"['1 Skulltula from each Adult Dungeon', 'Fire Temple Boss Key']",6,3
"['1 Skulltula from each Adult Dungeon', 'Goron Bracelet']",9,3
"['1 Skulltula from each Adult Dungeon', 'Goron Tunic']",7,0
"['1 Skulltula from each Adult Dungeon', 'Green Gauntlets']",9,1
"['1 Skulltula from each Adult Dungeon', 'Open 3 Gold Rupee Chests']",6,4
"['1 Skulltula from each Adult Dungeon', 'Open the Final Door of Shadow Trial']",7,0
"['1 Skulltula from each Adult Dungeon', 'Open the Final Door of Water Trial']",11,1
"['1 Skulltula from each Adult Dungeon', 'Quiver (40)']",7,1
"['1 Skulltula from each Adult Dungeon', 'Quiver (50)']",6,4
"['1 Skulltula from each Adult Dungeon', 'Sarias Song']",7,2
"['1 Skulltula from each Adult Dungeon', 'Two Fairy Spells']",7,1
"['1 Skulltula from each Child Dungeon', '1 Unused Small Key in each Adult Dungeon']",6,2
"['1 Skulltula from each Child Dungeon', 'All 3 Elemental Arrows']",7,0
"['1 Unused Small Key in each Adult Dungeon', '5 Magic Beans']",6,3
"['1 Unused Small Key in each Adult Dungeon', '5 Zora area HPs']",6,4
"['1 Unused Small Key in each Adult Dungeon', '8 Different Unused Keys in Gerudo Training Grounds']",7,2
"['1 Unused Small Key in each Adult Dungeon', '9 Hearts (no duping)']",7,5
"['1 Unused Small Key in each Adult Dungeon', 'All 3 Elemental Arrows']",9,1
"['1 Unused Small Key in each Adult Dungeon', 'All 4 Child Skulltulas in Zoras Domain Area']",6,1
"['1 Unused Small Key in each Adult Dungeon', 'Clear 10 Silver Rupee Rooms']",6,2
"['1 Unused Small Key in each Adult Dungeon', 'Green Gauntlets']",11,1
"['1 Unused Small Key in each Adult Dungeon', 'Open 3 Gold Rupee Chests']",9,3
"['10 Songs', '4 Unused Keys in Gerudo Training Grounds']",6,0
"['10 Songs', '5 Magic Beans']",8,0
"['10 Songs', '5 Maps']",6,6
"['10 Songs', '6 Compasses']",8,2
"['10 Songs', '6 Maps']",7,3
"['10 Songs', '7 Maps']",6,3
"['10 Songs', '8 Different Unused Keys in Gerudo Training Grounds']",6,3
"['10 Songs', '8 Hearts (no duping)']",7,9
"['10 Songs', 'All 3 Skulltulas in Ice Cavern']",6,2
"['10 Songs', 'All 5 Lake Hylia Skulltulas']",10,1
"['10 Songs', 'All 5 Skulltulas in Water Temple']",7,4
"['10 Songs', 'All 8 Zoras Domain area Skulltulas']",7,1
"['10 Songs', 'Both HPs in Lost Woods']",9,1
"['10 Songs', 'Defeat Dark Link']",6,0
"['10 Songs', 'Defeat Meg (purple Poe)']",8,1
"['10 Songs', 'Defeat Nabooru-Knuckle']",6,1
"['10 Songs', 'Defeat Volvagia']",13,1
"['10 Songs', 'Defeat a Skull Kid']",6,0
"['10 Songs', 'Dins Fire']",8,4
"['10 Songs', 'Exactly 20 Deku Sticks']",8,3
"['10 Songs', 'Exactly 30 Deku Sticks']",6,1
"['10 Songs', 'Free all 9 Gorons in Fire Temple']",6,5
"['10 Songs', 'Ganons Castle Boss Key']",6,1
"['10 Songs', 'Goron Bracelet']",14,6
"['10 Songs', 'Goron Tunic']",7,4
"['10 Songs', 'Green Gauntlets']",8,1
"['10 Songs', 'Lens of Truth']",9,4
"['10 Songs', 'Map & Compass in Bottom of the Well']",8,1
"['10 Songs', 'Map & Compass in Dodongos Cavern']",7,1
"['10 Songs', 'Map & Compass in Fire Temple']",6,2
"['10 Songs', 'Open 3 Boss Key Doors']",8,3
"['10 Songs', 'Quiver (50)']",8,2
"['10 Songs', 'Sarias Song']",8,3
"['10 Songs', 'Win Bombchu Bowling Prize']",6,3
"['2 Boss Keys', '30 Different Skulltulas']",6,1
"['2 Skulltulas in Lon Lon Ranch', '3 Swords & 3 Shields']",6,2
"['2 Skulltulas in Lon Lon Ranch', '30 Different Skulltulas']",8,4
"['2 Skulltulas in Lon Lon Ranch', 'Green Gauntlets']",6,2
"['2 Skulltulas in Lon Lon Ranch', 'Open All 6 Gold Rupee Chests']",6,1
"['20 Different Skulltulas', 'All 3 Elemental Arrows']",9,2
"['3 Boots', 'All 3 Elemental Arrows']",10,5
"['3 Boss Keys', '30 Different Skulltulas']",7,1
"['3 Shields & 3 Boots', '30 Different Skulltulas']",17,10
"['3 Shields & 3 Boots', '9 Hearts (no duping)']",8,0
"['3 Shields & 3 Boots', 'All 3 Elemental Arrows']",13,2
